atrip;AActT;AcessMetroResid;aChildren;ATTD;ATTT;AvCar;DCBD;ElderRetired;Family;ParkingOrigin;Personal;Shop;TCPass;Work
3.148;7.296;2611.074;0.852;18.992;88.519;0.296;17.029;0.407;0.037;0.211;0.111;0.259;0.407;0.519
2.42;5.794;2577.188;1;18.348;70.725;0.435;17.839;0.304;0;0;0.116;0.188;0.333;0.638
2.385;6.214;1034.462;1;17.419;84.231;0.385;15.394;0.538;0;0.163;0.231;0.385;0.462;0.385
2.853;7.228;522.89;0.699;14.776;92.288;0.35;11.967;0.319;0.012;0.117;0.061;0.172;0.399;0.748
3.127;6.605;1029.451;0.93;17.896;102.056;0.423;16.497;0.423;0;0.18;0.197;0.127;0.31;0.662
2.409;6.034;2918.818;1.091;14.691;85.909;0.273;13.29;0.636;0.045;0.081;0.182;0.227;0.364;0.545
2.971;6.012;4084.543;0.686;9.909;67.714;0.4;13.952;0.514;0;0.241;0.229;0.257;0.2;0.486
2.906;6.838;1305.146;1.24;15.243;94.969;0.281;13.728;0.292;0.031;0.123;0.125;0.156;0.344;0.677
2.231;8.497;11376.615;0.808;22.191;60;0.462;39.428;0.269;0.115;0.121;0;0.077;0.154;0.808
2.638;5.767;7101;0.928;9.173;62.391;0.275;12.96;0.435;0.029;0.22;0.203;0.217;0.145;0.507
2;13.417;3836;2;19.256;15;0.5;39.037;0;0;0.014;0.5;0;0;0.5
2.778;6.358;4209.333;0.704;14.533;63.889;0.37;14.959;0.222;0.037;0.184;0.222;0.185;0.222;0.556
2.125;4.458;5192.125;0.906;13.808;54.688;0.219;18.083;0.406;0.063;0.202;0.25;0.188;0.25;0.469
2.179;5.961;2265.536;0.786;38.069;70.036;0.643;44.986;0.357;0;0.168;0.107;0.25;0.179;0.607
2.138;5.818;8300;0.655;13.17;47.724;0.483;16.764;0.448;0;0.124;0.31;0.138;0.172;0.552
